id,name_cz,name_eng,keyword,type,Typ (hodnota),edition,Edice,Vytisknuto,Role Token,Vytisknuto Reminder Tokeny,Reminder Tokeny,ability_cz,ability_eng,setup,setup_reminder_eng,setup_reminder_cz,setlist_position,first_night_position,first_night_reminder_eng,first_night_reminder_cz,other_night_position,other_night_reminder_eng,other_night_reminder_cz,jinx,
1,Kuchař,Chef,chef,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,"První noc se dozvíš, kolik je ve hře zlých párů. (Pár je dvojice hráčů, kteří sedí vedle sebe.)",You start knowing how many pairs of evil players there are.,FALSE,,,3,50,Give a finger signal.,Ukaž signál prsty.,0,,,FALSE,
2,Vyšetřovatel,Investigator,investigator,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,2,2,"První noc se dozvíš, že jeden ze dvou hráčů je konkrétní Přisluhovač Démona.",You start knowing that 1 of 2 players is a particular Minion.,FALSE,,,5,49,Show the Minion character token. Point to both the **MINION** and **WRONG** players.,Ukaž žeton role Přisluhovače. Ukaž na **PŘISLUHOVAČE** i **NESPRÁVNÉHO** hráče.,0,,,FALSE,
3,Pradlena,Washerwoman,washerwoman,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,2,2,"První noc se dozvíš, že jeden ze dvou hráčů je konkrétní Měšťan.",You start knowing that 1 of 2 players is a particular Townsfolk.,FALSE,,,6,47,Show the Townsfolk character token. Point to both the **TOWNSFOLK** and **WRONG** players.,Ukaž žeton role Měšťana. Ukaž na **MĚŠŤANA** i **NESPRÁVNÉHO** hráče.,0,,,FALSE,
4,Knihovník,Librarian,librarian,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,2,2,"První noc se dozvíš, že jeden ze dvou hráčů je konkrétní Outsider. (Nebo že ve hře žádný Outsider není.)",You start knowing that 1 of 2 players is a particular Outsider. (Or that zero are in play.),FALSE,,,9,48,Show the Outsider character token. Point to both the **OUTSIDER** and **WRONG** players.,Ukaž žeton role Outsidera. Ukaž na **OUTSIDERA** i **NESPRÁVNÉHO** hráče.,0,,,FALSE,
5,Empat,Empath,empath,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,"Každou noc se dozvíš, kolik ze tvých dvou žijících sousedů je zlých.","Each night, you learn how many of your 2 alive neighbors are evil.",FALSE,,,13,51,Give a finger signal.,Ukaž signál prsty.,70,Give a finger signal.,Ukaž signál prsty.,FALSE,
6,Vědma,Fortune Teller,fortuneteller,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Každou noc si vyber 2 hráče: dozvíš se, jestli je jeden z nich Démon. Jeden z hodných  hráčů se ti bude jevit jako Démon.","Each night, choose 2 players: you learn if either is a Demon. There is a good player that registers as a Demon to you.",FALSE,,,25,52,The Fortune Teller chooses 2 players. Nod if either is the Demon (or the **RED HERRING**).,"Vědma vybere 2 hráče. Kývni, pokud je kdokoli z nich Démon (nebo **VOLAVKA**).",71,The Fortune Teller chooses 2 players. Nod if either is the Demon (or the **RED HERRING**).,"Vědma vybere 2 hráče. Kývni, pokud je kdokoli z nich Démon (nebo **VOLAVKA**).",FALSE,
7,Hrobník,Undertaker,undertaker,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Každou noc* se dozvíš, jakou roli měl hráč, který dnes zemřel rukou popravčího.","Each night*, you learn which character died by execution today.",FALSE,,,30,0,,,72,"If a player was executed today, show their character token.","Pokud byl dnes hráč popraven, ukaž jeho žeton role.",FALSE,
8,Mnich,Monk,monk,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Každou noc* si vyber hráče (ne sebe), který tuto noc nemůže zemřit rukou Démona.","Each night*, choose a player (not yourself): they are safe from the Demon tonight.",FALSE,,,32,0,,,18,The Monk chooses a player. {reminder_token},Mnich vybere hráče. {reminder_token},FALSE,
9,Zabiják,Slayer,slayer,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Jednou za hru můžeš kdykoliv kromě noci veřejně vybrat hráče, pokud je Démon, umře.  ","Once per game, during the day, publicly choose a player: if they are the Demon, they die.",FALSE,,,48,0,,,0,,,FALSE,
10,Voják,Soldier,soldier,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,"Zvládneš se ubránit Démonovi, nemůže tě tedy zabít.",You are safe from the Demon.,FALSE,,,52,0,,,0,,,FALSE,
11,Krkavec,Ravenkeeper,ravenkeeper,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,"V noc, kterou zemřeš, se probudíš a dozvíš se roli hráče, kterého si vybereš.","If you die at night, you are woken to choose a player: you learn their character.",FALSE,,,58,0,,,69,"If the Ravenkeeper died tonight, the Ravenkeeper chooses a player. Show that player's character token.","Pokud Krkavec dnes v noci zemřel, Chovatel havranů vybere hráče. Ukaž žeton role tohoto hráče.",FALSE,
12,Starosta,Mayor,mayor,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,"Žijí pouze 3 hráči & neproběhne poprava, pak tvůj tým vyhraje. Pokud v noci zemřeš, může místo tebe zemřít někdo jiný.","If only 3 players live & no execution occurs, your team wins. If you die at night, another player might die instead.",FALSE,,,63,0,,,0,,,FALSE,
13,Panna,Virgin,virgin,townsfolk,Měšťan,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Pokud jsi poprvé nominován a ten kdo tě nominoval je Měšťan, pak je on sám okamžitě popraven.","The 1st time you are nominated, if the nominator is a Townsfolk, they are executed immediately.",FALSE,,,65,0,,,0,,,FALSE,
14,Komorník,Butler,butler,outsider,Outsider,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Každou noc si vyber hráče (ne sebe) a zítra můžeš hlasovat, pouze pokud hlasuje (bude hlasovat) i on.","Each night, choose a player (not yourself): tomorrow, you may only vote if they are voting too.",FALSE,,,2,53,The Butler chooses a player. {reminder_token},Komorník vybere hráče. {reminder_token},85,The Butler chooses a player. {reminder_token},Komorník vybere hráče. {reminder_token},TRUE,
15,Opilec,Drunk,drunk,outsider,Outsider,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Nevíš, že jsi opilec. Myslíš si, že jsi nějaká z rolí Měšťanů, ale nejsi.","You do not know you are the Drunk. You think you are a Townsfolk character, but you are not.",FALSE,,,6,0,,,0,,,FALSE,
16,Samotář,Recluse,recluse,outsider,Outsider,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,"Můžeš se jevit jako zlý a i jako konkrétní Démon nebo Přisluhovač, i pokud jsi mrtvý. ","You might register as evil & as a Minion or Demon, even if dead.",FALSE,,,8,0,,,0,,,TRUE,
17,Svatý,Saint,saint,outsider,Outsider,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,"Pokud jsi popraven a zemřeš, tvůj tým prohrává.","If you die by execution, your team loses.",FALSE,,,14,0,,,0,,,FALSE,
18,Travič,Poisoner,poisoner,minion,Přisluhovač,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Každou noc si vyber hráče, tento hráč je od tohoto momentu do soumraku otráven.","Each night, choose a player: they are poisoned tonight and tomorrow day.",FALSE,,,3,28,The Poisoner chooses a player. {reminder_token},Travič vybere hráče. {reminder_token},11,The Poisoner chooses a player. {reminder_token},Travič vybere hráče. {reminder_token},FALSE,
19,Špeh,Spy,spy,minion,Přisluhovač,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,"Každou noc se podíváš do Grimoáru. Můžeš se jevit jako hodný a i jako konkrétní Měšťan nebo Outsider, i pokud jsi mrtvý.","Each night, you see the Grimoire. You might register as good & as a Townsfolk or Outsider, even if dead.",FALSE,,,5,67,Show the Grimoire for as long as the Spy needs.,"Ukaž Grimoár na tak dlouho, jak Špeh potřebuje.",86,Show the Grimoire for as long as the Spy needs.,"Ukaž Grimoár na tak dlouho, jak Špeh potřebuje.",TRUE,
20,Šarlatová Žena,Scarlet Woman,scarletwoman,minion,Přisluhovač,1,I Potíže Přicházejí (Trouble Brewing),1,1,1,1,"Pokud je naživu 5 nebo více hráčů a Démon zemře, staneš se Démonem ty. (Cestovatelé se nepočítají.)","If there are 5 or more players alive & the Demon dies, you become the Demon. (Travellers don't count.)",FALSE,,,23,0,,,27,"If the Scarlet Woman became the Demon today, show them the **YOU ARE** token, then the Demon token.","Pokud se Šarlatová žena dnes stala Démonem, ukaž jí **JSI*, poté žeton Démona.",TRUE,
21,Baron,Baron,baron,minion,Přisluhovač,1,I Potíže Přicházejí (Trouble Brewing),1,1,0,0,Ve hře jsou Outsideři navíc.,There are extra Outsiders in play.,TRUE,[+2 Outsiders],[+2 Outsideři],27,0,,,0,,,FALSE,
22,Čert,Imp,imp,demon,Démon,1,I Potíže Přicházejí (Trouble Brewing),4,4,1,1,"Každou noc* si vyber hráče, ten zemře. Pokud zabiješ sám sebe, pak se jeden z Přisluhovačů stane Čert.","Each night*, choose a player: they die. If you kill yourself this way, a Minion becomes the Imp.",FALSE,,,5,0,,,34,"The Imp chooses a player. {reminder_token} If the Imp chose themselves: Replace 1 alive Minion token with a spare Imp token. Put the old Imp to sleep. Wake the new Imp. Show the **YOU ARE** token, then show the Imp token.","Čert vybere hráče. {reminder_token} Pokud Čert vybral sám sebe: Nahraď 1 žeton Přisluhovače, který je naživu, náhradním žetonem Čerta. Uspi starého Čerta. Probuď nového Čerta. Ukaž **JSI**, poté ukaž žeton Čerta.",FALSE,
23,Beránek,Scapegoat,scapegoat,traveller,Cestovatel,1,I Potíže Přicházejí (Trouble Brewing),2,2,0,0,"Pokud je hráč stejné strany jako ty popraven, můžeš být místo něj popraven ty.","If a player of your alignment is executed, you might be executed instead.",FALSE,,,15,0,,,0,,,FALSE,
24,Byrokrat,Bureaucrat,bureaucrat,traveller,Cestovatel,1,I Potíže Přicházejí (Trouble Brewing),2,2,1,1,Každou noc si vyber hráče (ne sebe): jeho hlas se zítra počítá jako 3 hlasy.,"Each night, choose a player (not yourself): their vote counts as 3 votes tomorrow.",FALSE,,,2,0,,,0,,,FALSE,
25,Pistolník,Gunslinger,gunslinger,traveller,Cestovatel,1,I Potíže Přicházejí (Trouble Brewing),2,2,0,0,"Každý den, po sečtení prvního hlasu, si můžeš vybrat hráče, který hlasoval: ten zemře.","Each day, after the 1st vote has been tallied, you may choose a player that voted: they die.",FALSE,,,7,0,,,0,,,FALSE,
26,Zloděj,Thief,thief,traveller,Cestovatel,1,I Potíže Přicházejí (Trouble Brewing),2,2,1,1,Každou noc si vyber hráče (ne sebe): jeho hlas se zítra počítá záporně.,"Each night, choose a player (not yourself): their vote counts negatively tomorrow.",FALSE,,,1,0,,,0,,,FALSE,
27,Žebrák,Beggar,beggar,traveller,Cestovatel,1,I Potíže Přicházejí (Trouble Brewing),2,2,0,0,"K hlasování musíš použít hlasovací žeton. Pokud ti mrtvý Hráč dá svůj, dozvíš se jeho stranu. Jsi střízlivý a zdravý.","You must use a vote token to vote. If a dead player gives you theirs, you learn their alignment. You are sober & healthy.",FALSE,,,13,0,,,0,,,FALSE,
28,Babička,Grandmother,grandmother,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,2,2,"První noc se dozvíš o jednom hodném hráči a jeho roli. Tento hráč je tvé vnouče a pokud ho zabije Démon, zemřeš také.","You start knowing a good player & their character. If the Demon kills them, you die too.",FALSE,,,8,54,Point to the grandchild player & show their character token.,Ukaž na hráče vnuka a ukaž jeho žeton role.,67,"If the grandchild was killed by the Demon, the Grandmother dies too. {reminder_token}","Pokud byl vnuk zabit Démonem, Babička zemře také. {reminder_token}",FALSE,
29,Námořník,Sailor,sailor,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,Každou noc si vyber živého hráče; jeden z vás je do soumraku opilý. Nemůžeš zemřít. ,"Each night, choose an alive player: either you or they are drunk until dusk. You can't die.",FALSE,,,15,21,The Sailor chooses a living player. {reminder_token},Námořník vybere živého hráče. {reminder_token},7,The Sailor chooses a living player. {reminder_token},Námořník vybere živého hráče. {reminder_token},FALSE,
30,Pokojská,Chambermaid,chambermaid,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,0,0,"Každou noc si vyber 2 živé hráče (ne sebe): dozvíš se, kolik z nich se dnes probouzelo kvůli své schopnosti.","Each night, choose 2 alive players (not yourself): you learn how many woke tonight due to their ability.",FALSE,,,19,71,The Chambermaid chooses 2 living players. Give a finger signal.,Pokojská vybere 2 živé hráče. Ukaž signál prsty.,89,The Chambermaid chooses 2 living players. Give a finger signal.,Pokojská vybere 2 živé hráče. Ukaž signál prsty.,FALSE,
31,Exorcista,Exorcist,exorcist,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,"Každou noc* si vyber hráče (jiného než minulou noc): pokud je vybrán Démon, dozví se, kdo jsi, a tuto noc se neprobudí.","Each night*, choose a player (different to last night): the Demon, if chosen, learns who you are then doesn't wake tonight.",FALSE,,,35,0,,,30,The Exorcist chooses a player. {reminder_token} Put the Exorcist to sleep. If the Exorcist chose the Demon: Wake the Demon. Show the **THIS CHARACTER SELECTED YOU** & Exorcist tokens. Point to the Exorcist.,Exorcista vybere hráče. {reminder_token} Uspi Exorcistu. Pokud Exorcista vybral Démona: Probuď Démona. Ukaž **TATO ROLE SI TĚ VYBRALA** a Exorcistův token. Ukaž kde sedí Exorcista.,FALSE,
32,Hostinský,Innkeeper,innkeeper,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,3,3,"Každou noc* si vyber 2 hráče: tuto noc nemohou zemřít, ale jeden z nich je opilý až do zítřejšího soumraku.","Each night*, choose 2 players: they can't die tonight, but 1 is drunk until dusk.",FALSE,,,31,0,,,13,The Innkeeper chooses 2 players. {reminder_token} {reminder_token} {reminder_token},Hostinský vybere 2 hráče. {reminder_token} {reminder_token} {reminder_token},FALSE,
33,Gambler,Gambler,gambler,townsfolk,Měšťan,2,II Čas Krvavého Měsíce (Bad Moon Rising),1,1,1,1,"Každou noc* si vyber hráče a hádej jeho roli: pokud ji neuhádneš, zemřeš.","Each night*, choose a player & guess their character: if you guess wrong, you die.",FALSE,,,33,0,,,15,The Gambler chooses a player & a character. {reminder_token},Gambler vybere hráče a roli. {reminder_token},FALSE,
